Product,Variant,Price,Handle,Variant ID,Availability,SKU,Product URL,Scraped at,Description
1 Line Jacquard Towel,Hand towel / white,480.0,1-line-jacquard-towel,44613386830018,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 Line Jacquard Towel,Hand towel / Coal,480.0,1-line-jacquard-towel,44613390401730,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 Line Jacquard Towel,Face Towel / white,740.0,1-line-jacquard-towel,44613386895554,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 Line Jacquard Towel,Face Towel / Coal,740.0,1-line-jacquard-towel,44613390434498,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 Line Jacquard Towel,Bath Towel / white,980.0,1-line-jacquard-towel,44613386961090,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 Line Jacquard Towel,Bath Towel / Coal,980.0,1-line-jacquard-towel,44613390467266,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/28 02:54:47 PM,"100% egyptian cotton
sizes:
Hand Towel: 50x100   cm
Face Towel:  70x140   cm
Bath Towel:  100x160 cm"
1 line Towel set (3 pcs),white,1880.0,1-line-towel-set-3-pcs,44364304974018,True,,https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,2026/01/28 02:54:48 PM,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
"
1 line Towel set (3 pcs),cafè,1880.0,1-line-towel-set-3-pcs,44364327551170,True,,https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,2026/01/28 02:54:48 PM,"A 100% Egyptian Cotton High absorption
3 piece Towel Set contains:
1 Hand Towel (50x30)
1 Face Towel (50x100)
1 Bath Towel (100x160)
"
100% Linen Chemise,S / Beige,2680.0,set-short-and-chemise,41072282730690,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,S / White,2680.0,set-short-and-chemise,41127627456706,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,S / Pink,2010.0,set-short-and-chemise,41127631880386,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,S / Navy Blue,2010.0,set-short-and-chemise,42257359700162,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,S / Green,2010.0,set-short-and-chemise,42257359732930,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,S / yellow,2010.0,set-short-and-chemise,43008747143362,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / Beige,2680.0,set-short-and-chemise,41072282697922,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / White,2680.0,set-short-and-chemise,41127629750466,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / Pink,2010.0,set-short-and-chemise,41127632240834,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / Navy Blue,2010.0,set-short-and-chemise,42257359765698,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / Green,2010.0,set-short-and-chemise,42257359798466,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,M / yellow,2010.0,set-short-and-chemise,43008747176130,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / Beige,2680.0,set-short-and-chemise,41072282665154,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / White,2680.0,set-short-and-chemise,41127631061186,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / Pink,2010.0,set-short-and-chemise,41127633125570,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / Navy Blue,2010.0,set-short-and-chemise,42257359831234,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / Green,2010.0,set-short-and-chemise,42257359864002,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100% Linen Chemise,L / yellow,2010.0,set-short-and-chemise,43008747208898,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/28 02:54:50 PM,Material: 100% Linen
100%Linen Red line Duvet cover,Superking (260x240) / Beige,8690.0,red-line-linen-duvet-cover-copy,45151471796418,True,,https://eg.lilly-home.com//products/red-line-linen-duvet-cover-copy,2026/01/28 02:54:52 PM,"A 100% Egyptian Linen embroidered duvet set consists of :
1 embroidered duvet cover
2 embroidered pillow cases
"
100%Linen Red line Duvet cover,king (240x220) / Beige,8690.0,red-line-linen-duvet-cover-copy,45151471861954,True,,https://eg.lilly-home.com//products/red-line-linen-duvet-cover-copy,2026/01/28 02:54:52 PM,"A 100% Egyptian Linen embroidered duvet set consists of :
1 embroidered duvet cover
2 embroidered pillow cases
"
400 TC Plain Bedsheet (3pcs),King / white / Flat,2680.0,copy-of-plain-duvet-cover-3pcs,42044045590722,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / white / Fitted,2680.0,copy-of-plain-duvet-cover-3pcs,42044057747650,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Baby Blue / Flat,2680.0,copy-of-plain-duvet-cover-3pcs,42044045623490,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Baby Blue / Fitted,2680.0,copy-of-plain-duvet-cover-3pcs,42044057780418,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Lilac / Flat,2680.0,copy-of-plain-duvet-cover-3pcs,42044045656258,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Lilac / Fitted,2680.0,copy-of-plain-duvet-cover-3pcs,42044057813186,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Pastel Green / Flat,2680.0,copy-of-plain-duvet-cover-3pcs,42044045689026,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
400 TC Plain Bedsheet (3pcs),King / Pastel Green / Fitted,2680.0,copy-of-plain-duvet-cover-3pcs,42044057845954,True,,https://eg.lilly-home.com//products/copy-of-plain-duvet-cover-3pcs,2026/01/28 02:54:53 PM,"
A 400 thread count cotton 3 piece set that consists of :"
