Product,Variant,Price,Handle,Variant ID,Availability,SKU,Product URL,Scraped at
1 line Towel set (3 pcs),white,1880.0,1-line-towel-set-3-pcs,44364304974018,True,,https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,2026/01/26 12:38:11 PM
1 line Towel set (3 pcs),cafè,1880.0,1-line-towel-set-3-pcs,44364327551170,True,,https://eg.lilly-home.com//products/1-line-towel-set-3-pcs,2026/01/26 12:38:11 PM
100% Linen Chemise,S / Beige,2680.0,set-short-and-chemise,41072282730690,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,S / White,2680.0,set-short-and-chemise,41127627456706,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,S / Pink,2010.0,set-short-and-chemise,41127631880386,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,S / Navy Blue,2010.0,set-short-and-chemise,42257359700162,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,S / Green,2010.0,set-short-and-chemise,42257359732930,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,S / yellow,2010.0,set-short-and-chemise,43008747143362,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / Beige,2680.0,set-short-and-chemise,41072282697922,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / White,2680.0,set-short-and-chemise,41127629750466,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / Pink,2010.0,set-short-and-chemise,41127632240834,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / Navy Blue,2010.0,set-short-and-chemise,42257359765698,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / Green,2010.0,set-short-and-chemise,42257359798466,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,M / yellow,2010.0,set-short-and-chemise,43008747176130,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / Beige,2680.0,set-short-and-chemise,41072282665154,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / White,2680.0,set-short-and-chemise,41127631061186,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / Pink,2010.0,set-short-and-chemise,41127633125570,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / Navy Blue,2010.0,set-short-and-chemise,42257359831234,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / Green,2010.0,set-short-and-chemise,42257359864002,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
100% Linen Chemise,L / yellow,2010.0,set-short-and-chemise,43008747208898,True,,https://eg.lilly-home.com//products/set-short-and-chemise,2026/01/26 12:38:13 PM
1 Line Jacquard Towel,Hand towel / white,480.0,1-line-jacquard-towel,44613386830018,True,,https://eg.lilly-home.com//products/1-line-jacquard-towel,2026/01/26 12:38:15 PM
