Variant ID,Handle,Variant,Price,SKU,Scraped at,Availability
40607487262768,kaleidoscope-duvet-pillowcases,King,7500.0,250003147.0,2026/02/02 11:24:26 AM,False
40607487295536,kaleidoscope-duvet-pillowcases,Queen,7500.0,250003148.0,2026/02/02 11:24:26 AM,True
39747113484336,blue-paisley-duvet-pillowcases-600-tc,King,9200.0,250002407.0,2026/02/02 11:24:27 AM,False
39747113517104,blue-paisley-duvet-pillowcases-600-tc,Queen,9200.0,250002408.0,2026/02/02 11:24:27 AM,True
49782839902487,white-duvet-pillowcases-600-tc,King,9200.0,250002891.0,2026/02/02 11:24:29 AM,True
32273345773616,white-duvet-pillowcases-600-tc,Queen,9200.0,250002892.0,2026/02/02 11:24:29 AM,False
49657077498135,silver-florals-sheet-pillowcases-600-tc,King,6700.0,250005995.0,2026/02/02 11:24:30 AM,True
49657077530903,silver-florals-sheet-pillowcases-600-tc,Queen,6700.0,250005996.0,2026/02/02 11:24:30 AM,True
47453081075991,blue-waves-duvet-pillowcases,King,7500.0,250004532.0,2026/02/02 11:24:32 AM,False
47453081108759,blue-waves-duvet-pillowcases,Queen,7500.0,250004533.0,2026/02/02 11:24:32 AM,True
40140572917808,match-sticks-duvet-pillowcases,King,7500.0,250002768.0,2026/02/02 11:24:33 AM,False
40140572950576,match-sticks-duvet-pillowcases,Queen,7500.0,250002769.0,2026/02/02 11:24:33 AM,True
51756594397463,lilac-horus-duvet-pillowcases-600-tc,King,9200.0,250008102.0,2026/02/02 11:24:35 AM,False
51756594430231,lilac-horus-duvet-pillowcases-600-tc,Queen,9200.0,250008103.0,2026/02/02 11:24:35 AM,True
47452806381847,dark-grey-silver-border-duvet-pillowcases-600-tc,King,9200.0,250004568.0,2026/02/02 11:24:37 AM,True
47452806414615,dark-grey-silver-border-duvet-pillowcases-600-tc,Queen,9200.0,250004569.0,2026/02/02 11:24:37 AM,True
47453050536215,colored-pixels-duvet-pillowcases,King,7500.0,250004540.0,2026/02/02 11:24:39 AM,True
47453050568983,colored-pixels-duvet-pillowcases,Queen,7500.0,250004541.0,2026/02/02 11:24:39 AM,True
51604500545815,blue-aasha-sheet-pillowcases,King,6700.0,250008080.0,2026/02/02 11:24:41 AM,False
51604500578583,blue-aasha-sheet-pillowcases,Queen,6700.0,250008082.0,2026/02/02 11:24:41 AM,True
45357764870423,blue-robins-duvet-pillowcases,King,7500.0,250004004.0,2026/02/02 11:24:42 AM,True
45357764903191,blue-robins-duvet-pillowcases,Queen,7500.0,250004005.0,2026/02/02 11:24:42 AM,True
47645595173143,grey-squares-border-sheet-pillowcases-600-tc,King,6700.0,250004563.0,2026/02/02 11:24:44 AM,True
47645595205911,grey-squares-border-sheet-pillowcases-600-tc,Queen,6700.0,250004562.0,2026/02/02 11:24:44 AM,False
49752780603671,indigo-florals-duvet-pillowcases-600-tc,King,9200.0,250005967.0,2026/02/02 11:24:46 AM,True
49752780636439,indigo-florals-duvet-pillowcases-600-tc,Queen,9200.0,250005968.0,2026/02/02 11:24:46 AM,False
47452838494487,grey-squares-border-duvet-pillowcases-600-tc,King,9200.0,250004564.0,2026/02/02 11:24:47 AM,False
47452838527255,grey-squares-border-duvet-pillowcases-600-tc,Queen,9200.0,250004565.0,2026/02/02 11:24:47 AM,True
51756575490327,lilac-white-piping-sheet-pillowcases,King,6700.0,250007274.0,2026/02/02 11:24:49 AM,True
51756575523095,lilac-white-piping-sheet-pillowcases,Queen,6700.0,250007275.0,2026/02/02 11:24:49 AM,False
49491376242967,cream-on-blue-border-sheet-pillowcases-600-tc,King,6700.0,250005828.0,2026/02/02 11:24:51 AM,True
49491376275735,cream-on-blue-border-sheet-pillowcases-600-tc,Queen,6700.0,250005829.0,2026/02/02 11:24:51 AM,True
39773567713328,grey-piping-duvet-pillowcases-600-tc,King,9200.0,250002379.0,2026/02/02 11:24:52 AM,False
39773567746096,grey-piping-duvet-pillowcases-600-tc,Queen,9200.0,250002380.0,2026/02/02 11:24:52 AM,True
45368604950807,white-duvet-with-light-blue-piping-pillowcases-600-tc,King,9200.0,250003025.0,2026/02/02 11:24:54 AM,True
45368604983575,white-duvet-with-light-blue-piping-pillowcases-600-tc,Queen,9200.0,250003026.0,2026/02/02 11:24:54 AM,True
51421650190615,garden-glow-border-sheet-pillowcases-600-tc,King,6700.0,250007586.0,2026/02/02 11:24:56 AM,True
51421650223383,garden-glow-border-sheet-pillowcases-600-tc,Queen,6700.0,250007587.0,2026/02/02 11:24:56 AM,True
51421696327959,garden-glow-border-duvet-pillowcases-600-tc,King,9200.0,250007588.0,2026/02/02 11:24:57 AM,True
51421696360727,garden-glow-border-duvet-pillowcases-600-tc,Queen,9200.0,250007589.0,2026/02/02 11:24:57 AM,True
50546706284823,golden-groovy-duvet-pillowcases-600-tc,King,9200.0,250007074.0,2026/02/02 11:24:59 AM,True
50546706317591,golden-groovy-duvet-pillowcases-600-tc,Queen,9200.0,250007076.0,2026/02/02 11:24:59 AM,True
51241670017303,mint-white-piping-sheet-pillowcases-600-tc,King,6700.0,250007583.0,2026/02/02 11:25:00 AM,False
51241670050071,mint-white-piping-sheet-pillowcases-600-tc,Queen,6700.0,250007584.0,2026/02/02 11:25:00 AM,True
40607492440112,blue-arabesque-duvet-pillowcases,King,7500.0,250003143.0,2026/02/02 11:25:02 AM,False
40607492472880,blue-arabesque-duvet-pillowcases,Queen,7500.0,250003144.0,2026/02/02 11:25:02 AM,False
51603450593559,blue-sheet-with-off-white-piping-pillowcases,King,6700.0,250007941.0,2026/02/02 11:25:03 AM,True
51603450626327,blue-sheet-with-off-white-piping-pillowcases,Queen,6700.0,250007942.0,2026/02/02 11:25:03 AM,True
45368789205271,beige-duvet-with-off-white-piping-pillowcases-600-tc,King,9200.0,250002387.0,2026/02/02 11:25:05 AM,False
45368789238039,beige-duvet-with-off-white-piping-pillowcases-600-tc,Queen,9200.0,250002388.0,2026/02/02 11:25:05 AM,True
50282257940759,dreamy-garden-duvet-pillowcases,King,7500.0,250006824.0,2026/02/02 11:25:07 AM,True
50282257973527,dreamy-garden-duvet-pillowcases,Queen,7500.0,250006823.0,2026/02/02 11:25:07 AM,False
39918200291376,grey-piping-duvet-pillowcases-600-tc-1,King,9200.0,250002383.0,2026/02/02 11:25:08 AM,True
39918200324144,grey-piping-duvet-pillowcases-600-tc-1,Queen,9200.0,250002384.0,2026/02/02 11:25:08 AM,True
39773569253424,grey-paisley-duvet-pillowcases-600-tc,King,9200.0,250002441.0,2026/02/02 11:25:10 AM,False
