Variant ID,Handle,Variant,Price,SKU,Scraped at,Availability,Color,Inventory Management
44364304974018,1-line-towel-set-3-pcs,white,1880.0,N/A,2026/02/11 04:40:49 PM,True,white,N/A
44364327551170,1-line-towel-set-3-pcs,cafè,1880.0,N/A,2026/02/11 04:40:49 PM,True,cafè,N/A
44613386830018,1-line-jacquard-towel,Hand towel / white,480.0,N/A,2026/02/11 04:40:51 PM,True,white,shopify
44613390401730,1-line-jacquard-towel,Hand towel / Coal,480.0,N/A,2026/02/11 04:40:51 PM,True,Coal,shopify
44613386895554,1-line-jacquard-towel,Face Towel / white,740.0,N/A,2026/02/11 04:40:51 PM,True,white,shopify
44613390434498,1-line-jacquard-towel,Face Towel / Coal,740.0,N/A,2026/02/11 04:40:51 PM,True,Coal,shopify
44613386961090,1-line-jacquard-towel,Bath Towel / white,980.0,N/A,2026/02/11 04:40:51 PM,True,white,shopify
44613390467266,1-line-jacquard-towel,Bath Towel / Coal,980.0,N/A,2026/02/11 04:40:51 PM,True,Coal,shopify
41072282730690,set-short-and-chemise,S / Beige,2680.0,N/A,2026/02/11 04:40:52 PM,True,Beige,N/A
41127627456706,set-short-and-chemise,S / White,2680.0,N/A,2026/02/11 04:40:52 PM,True,White,N/A
41127631880386,set-short-and-chemise,S / Pink,2010.0,N/A,2026/02/11 04:40:52 PM,True,Pink,N/A
42257359700162,set-short-and-chemise,S / Navy Blue,2010.0,N/A,2026/02/11 04:40:52 PM,True,Navy Blue,shopify
42257359732930,set-short-and-chemise,S / Green,2010.0,N/A,2026/02/11 04:40:52 PM,True,Green,shopify
43008747143362,set-short-and-chemise,S / yellow,2010.0,N/A,2026/02/11 04:40:52 PM,True,yellow,shopify
41072282697922,set-short-and-chemise,M / Beige,2680.0,N/A,2026/02/11 04:40:52 PM,True,Beige,N/A
41127629750466,set-short-and-chemise,M / White,2680.0,N/A,2026/02/11 04:40:52 PM,True,White,N/A
41127632240834,set-short-and-chemise,M / Pink,2010.0,N/A,2026/02/11 04:40:52 PM,True,Pink,N/A
42257359765698,set-short-and-chemise,M / Navy Blue,2010.0,N/A,2026/02/11 04:40:52 PM,True,Navy Blue,shopify
42257359798466,set-short-and-chemise,M / Green,2010.0,N/A,2026/02/11 04:40:52 PM,True,Green,shopify
43008747176130,set-short-and-chemise,M / yellow,2010.0,N/A,2026/02/11 04:40:52 PM,True,yellow,shopify
41072282665154,set-short-and-chemise,L / Beige,2680.0,N/A,2026/02/11 04:40:52 PM,True,Beige,N/A
41127631061186,set-short-and-chemise,L / White,2680.0,N/A,2026/02/11 04:40:52 PM,True,White,N/A
41127633125570,set-short-and-chemise,L / Pink,2010.0,N/A,2026/02/11 04:40:52 PM,True,Pink,N/A
42257359831234,set-short-and-chemise,L / Navy Blue,2010.0,N/A,2026/02/11 04:40:52 PM,True,Navy Blue,shopify
42257359864002,set-short-and-chemise,L / Green,2010.0,N/A,2026/02/11 04:40:52 PM,True,Green,shopify
43008747208898,set-short-and-chemise,L / yellow,2010.0,N/A,2026/02/11 04:40:52 PM,True,yellow,shopify
42044045590722,copy-of-plain-duvet-cover-3pcs,King / white / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044057747650,copy-of-plain-duvet-cover-3pcs,King / white / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044045623490,copy-of-plain-duvet-cover-3pcs,King / Baby Blue / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044057780418,copy-of-plain-duvet-cover-3pcs,King / Baby Blue / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044045656258,copy-of-plain-duvet-cover-3pcs,King / Lilac / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044057813186,copy-of-plain-duvet-cover-3pcs,King / Lilac / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044045689026,copy-of-plain-duvet-cover-3pcs,King / Pastel Green / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
42044057845954,copy-of-plain-duvet-cover-3pcs,King / Pastel Green / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
42044045721794,copy-of-plain-duvet-cover-3pcs,Queen / white / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044057878722,copy-of-plain-duvet-cover-3pcs,Queen / white / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044045754562,copy-of-plain-duvet-cover-3pcs,Queen / Baby Blue / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044057911490,copy-of-plain-duvet-cover-3pcs,Queen / Baby Blue / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044045820098,copy-of-plain-duvet-cover-3pcs,Queen / Lilac / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044057944258,copy-of-plain-duvet-cover-3pcs,Queen / Lilac / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044045885634,copy-of-plain-duvet-cover-3pcs,Queen / Pastel Green / Flat,2680.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
42044057977026,copy-of-plain-duvet-cover-3pcs,Queen / Pastel Green / Fitted,2680.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
42044045951170,copy-of-plain-duvet-cover-3pcs,Single / white / Flat,2480.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044058009794,copy-of-plain-duvet-cover-3pcs,Single / white / Fitted,2480.0,N/A,2026/02/11 04:40:54 PM,True,white,N/A
42044045983938,copy-of-plain-duvet-cover-3pcs,Single / Baby Blue / Flat,2480.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044058042562,copy-of-plain-duvet-cover-3pcs,Single / Baby Blue / Fitted,2480.0,N/A,2026/02/11 04:40:54 PM,True,Baby Blue,N/A
42044046049474,copy-of-plain-duvet-cover-3pcs,Single / Lilac / Flat,2480.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044058075330,copy-of-plain-duvet-cover-3pcs,Single / Lilac / Fitted,2480.0,N/A,2026/02/11 04:40:54 PM,True,Lilac,N/A
42044046115010,copy-of-plain-duvet-cover-3pcs,Single / Pastel Green / Flat,2480.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
42044058108098,copy-of-plain-duvet-cover-3pcs,Single / Pastel Green / Fitted,2480.0,N/A,2026/02/11 04:40:54 PM,True,Pastel Green,N/A
45151471796418,red-line-linen-duvet-cover-copy,Superking (260x240) / Beige,8690.0,N/A,2026/02/11 04:40:55 PM,True,Beige,N/A
45151471861954,red-line-linen-duvet-cover-copy,king (240x220) / Beige,8690.0,N/A,2026/02/11 04:40:55 PM,True,Beige,N/A
42780863987906,5-lines-towel-set-6-pcs,white,1880.0,N/A,2026/02/11 04:40:57 PM,True,white,N/A
42780864020674,5-lines-towel-set-6-pcs,beige,1880.0,N/A,2026/02/11 04:40:57 PM,True,beige,N/A
42780864053442,5-lines-towel-set-6-pcs,silver,1880.0,N/A,2026/02/11 04:40:57 PM,True,silver,N/A
42780864086210,5-lines-towel-set-6-pcs,cafe,1880.0,N/A,2026/02/11 04:40:57 PM,True,cafe,N/A
42780864118978,5-lines-towel-set-6-pcs,grey,1880.0,N/A,2026/02/11 04:40:57 PM,True,grey,N/A
42780864151746,5-lines-towel-set-6-pcs,aqua,1880.0,N/A,2026/02/11 04:40:57 PM,True,aqua,N/A
45812760445122,600-tc-plain-bedsheet-set-copy,Superking (200x200) / white,4180.0,N/A,2026/02/11 04:40:59 PM,True,white,N/A
45812760510658,600-tc-plain-bedsheet-set-copy,Superking (200x200) / grey,4180.0,N/A,2026/02/11 04:40:59 PM,True,grey,N/A
45812760576194,600-tc-plain-bedsheet-set-copy,Superking (200x200) / silver,4180.0,N/A,2026/02/11 04:40:59 PM,True,silver,N/A
45812760608962,600-tc-plain-bedsheet-set-copy,king (180x200) / white,4180.0,N/A,2026/02/11 04:40:59 PM,True,white,N/A
45812760674498,600-tc-plain-bedsheet-set-copy,king (180x200) / grey,4180.0,N/A,2026/02/11 04:40:59 PM,True,grey,N/A
45812760740034,600-tc-plain-bedsheet-set-copy,king (180x200) / silver,4180.0,N/A,2026/02/11 04:40:59 PM,True,silver,N/A
45812760772802,600-tc-plain-bedsheet-set-copy,Queen (160*200) / white,4180.0,N/A,2026/02/11 04:40:59 PM,True,white,N/A
45812760838338,600-tc-plain-bedsheet-set-copy,Queen (160*200) / grey,4180.0,N/A,2026/02/11 04:40:59 PM,True,grey,N/A
45812760903874,600-tc-plain-bedsheet-set-copy,Queen (160*200) / silver,4180.0,N/A,2026/02/11 04:40:59 PM,True,silver,N/A
45812760936642,600-tc-plain-bedsheet-set-copy,double (120x200) / white,3980.0,N/A,2026/02/11 04:40:59 PM,True,white,N/A
45812761002178,600-tc-plain-bedsheet-set-copy,double (120x200) / grey,3980.0,N/A,2026/02/11 04:40:59 PM,True,grey,N/A
45812761067714,600-tc-plain-bedsheet-set-copy,double (120x200) / silver,3980.0,N/A,2026/02/11 04:40:59 PM,True,silver,N/A
45812677378242,600-tc-plain-duvet-cover-set,Superking (260x240) / white,6480.0,N/A,2026/02/11 04:41:00 PM,True,white,N/A
45812677443778,600-tc-plain-duvet-cover-set,Superking (260x240) / grey,6480.0,N/A,2026/02/11 04:41:00 PM,True,grey,N/A
45812677509314,600-tc-plain-duvet-cover-set,Superking (260x240) / silver,6480.0,N/A,2026/02/11 04:41:00 PM,True,silver,N/A
45812677542082,600-tc-plain-duvet-cover-set,king (220x240) / white,6480.0,N/A,2026/02/11 04:41:00 PM,True,white,N/A
45812677607618,600-tc-plain-duvet-cover-set,king (220x240) / grey,6480.0,N/A,2026/02/11 04:41:00 PM,True,grey,N/A
45812677673154,600-tc-plain-duvet-cover-set,king (220x240) / silver,6480.0,N/A,2026/02/11 04:41:00 PM,True,silver,N/A
45812766769346,800-tc-plain-bedsheet-set,Superking (200x200) / white,6800.0,N/A,2026/02/11 04:41:02 PM,True,white,N/A
45812766834882,800-tc-plain-bedsheet-set,Superking (200x200) / silver,6800.0,N/A,2026/02/11 04:41:02 PM,True,silver,N/A
45812766867650,800-tc-plain-bedsheet-set,king (180x200) / white,6800.0,N/A,2026/02/11 04:41:02 PM,True,white,N/A
45812766933186,800-tc-plain-bedsheet-set,king (180x200) / silver,6800.0,N/A,2026/02/11 04:41:02 PM,True,silver,N/A
45812766965954,800-tc-plain-bedsheet-set,Queen (160*200) / white,6800.0,N/A,2026/02/11 04:41:02 PM,True,white,N/A
45812767031490,800-tc-plain-bedsheet-set,Queen (160*200) / silver,6800.0,N/A,2026/02/11 04:41:02 PM,True,silver,N/A
45812767064258,800-tc-plain-bedsheet-set,double (120x200) / white,6800.0,N/A,2026/02/11 04:41:02 PM,True,white,N/A
45812767129794,800-tc-plain-bedsheet-set,double (120x200) / silver,6800.0,N/A,2026/02/11 04:41:02 PM,True,silver,N/A
42795139989698,plain-bedsheet-set-350-tc,Superking (200x200) / white,2680.0,N/A,2026/02/11 04:41:03 PM,True,white,N/A
42795140022466,plain-bedsheet-set-350-tc,Superking (200x200) / off white,2680.0,N/A,2026/02/11 04:41:03 PM,True,off white,N/A
42795140055234,plain-bedsheet-set-350-tc,Superking (200x200) / grey,2680.0,N/A,2026/02/11 04:41:03 PM,True,grey,N/A
42795140088002,plain-bedsheet-set-350-tc,Superking (200x200) / aqua,2680.0,N/A,2026/02/11 04:41:03 PM,True,aqua,N/A
42795140120770,plain-bedsheet-set-350-tc,Superking (200x200) / silver,2680.0,N/A,2026/02/11 04:41:03 PM,True,silver,N/A
42795140153538,plain-bedsheet-set-350-tc,king (180x200) / white,2680.0,N/A,2026/02/11 04:41:03 PM,True,white,N/A
42795140186306,plain-bedsheet-set-350-tc,king (180x200) / off white,2680.0,N/A,2026/02/11 04:41:03 PM,True,off white,N/A
42795140219074,plain-bedsheet-set-350-tc,king (180x200) / grey,2680.0,N/A,2026/02/11 04:41:03 PM,True,grey,N/A
42795140251842,plain-bedsheet-set-350-tc,king (180x200) / aqua,2680.0,N/A,2026/02/11 04:41:03 PM,True,aqua,N/A
42795140284610,plain-bedsheet-set-350-tc,king (180x200) / silver,2680.0,N/A,2026/02/11 04:41:03 PM,True,silver,N/A
45679567995074,plain-bedsheet-set-350-tc,Queen (160*200) / white,2680.0,N/A,2026/02/11 04:41:03 PM,True,white,N/A
45679568027842,plain-bedsheet-set-350-tc,Queen (160*200) / off white,2680.0,N/A,2026/02/11 04:41:03 PM,True,off white,N/A
45679568060610,plain-bedsheet-set-350-tc,Queen (160*200) / grey,2680.0,N/A,2026/02/11 04:41:03 PM,True,grey,N/A
45679568093378,plain-bedsheet-set-350-tc,Queen (160*200) / aqua,2680.0,N/A,2026/02/11 04:41:03 PM,True,aqua,N/A
45679568126146,plain-bedsheet-set-350-tc,Queen (160*200) / silver,2680.0,N/A,2026/02/11 04:41:03 PM,True,silver,N/A
