Variant ID,Handle,Variant,Price,SKU,Scraped at,Availability,Inventory Management
46473465069817,adventure-incomplete-tee-for-adults,Medium / T-shirt Only,519.0,,2026/02/22 12:53:26 PM,False,shopify
46473465102585,adventure-incomplete-tee-for-adults,Large / T-shirt Only,519.0,,2026/02/22 12:53:26 PM,False,shopify
46473465135353,adventure-incomplete-tee-for-adults,X-Large / T-shirt Only,519.0,,2026/02/22 12:53:26 PM,True,shopify
46473465168121,adventure-incomplete-tee-for-adults,XX-Large / T-shirt Only,519.0,,2026/02/22 12:53:26 PM,True,shopify
46516044366073,aiming-higher-in-olive-tee,4-5,322.0,,2026/02/22 12:53:27 PM,True,shopify
46461442031865,aiming-higher-in-olive-tee,6-7,322.0,,2026/02/22 12:53:27 PM,True,shopify
46461442064633,aiming-higher-in-olive-tee,8-9,322.0,,2026/02/22 12:53:27 PM,True,shopify
46461442097401,aiming-higher-in-olive-tee,10-11,322.0,,2026/02/22 12:53:27 PM,True,shopify
46461442130169,aiming-higher-in-olive-tee,12-13,322.0,,2026/02/22 12:53:27 PM,True,shopify
46461442162937,aiming-higher-in-olive-tee,14-15,322.0,,2026/02/22 12:53:27 PM,True,shopify
42544661397753,airborne-unicorn,2-3,299.0,,2026/02/22 12:53:28 PM,False,shopify
42544661430521,airborne-unicorn,4-5,299.0,,2026/02/22 12:53:28 PM,False,shopify
42544661463289,airborne-unicorn,6-7,299.0,,2026/02/22 12:53:28 PM,False,shopify
42544661496057,airborne-unicorn,8-9,299.0,,2026/02/22 12:53:28 PM,False,shopify
42544661528825,airborne-unicorn,10-11,299.0,,2026/02/22 12:53:28 PM,True,shopify
42544661561593,airborne-unicorn,12-13,299.0,,2026/02/22 12:53:28 PM,True,shopify
43774953914617,beige-girls-shorts,18-24 Months / Shorts Only,399.0,,2026/02/22 12:53:29 PM,True,shopify
43732656128249,beige-girls-shorts,2-3 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656161017,beige-girls-shorts,3-4 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,True,shopify
43732656193785,beige-girls-shorts,4-5 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656226553,beige-girls-shorts,5-6 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656259321,beige-girls-shorts,6-7 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656292089,beige-girls-shorts,8-9 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656324857,beige-girls-shorts,10-11 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732656357625,beige-girls-shorts,12-13 Years / Shorts Only,399.0,,2026/02/22 12:53:29 PM,False,shopify
43732560838905,black-cargo-kids-shorts,2-3 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732560871673,black-cargo-kids-shorts,3-4 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,False,shopify
43732560904441,black-cargo-kids-shorts,4-5 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732560937209,black-cargo-kids-shorts,5-6 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732560969977,black-cargo-kids-shorts,6-7 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732561002745,black-cargo-kids-shorts,8-9 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732561035513,black-cargo-kids-shorts,10-11 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
43732561068281,black-cargo-kids-shorts,12-13 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
44546408612089,black-cargo-kids-shorts,14-15 Years / Shorts Only,540.0,,2026/02/22 12:53:30 PM,True,shopify
46939314061561,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,2-3,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314094329,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,3-4,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314127097,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,4-5,650.0,,2026/02/22 12:53:31 PM,True,shopify
47009142898937,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,5-6,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314159865,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,6-7,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314192633,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,8-9,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314225401,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,10-11,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314258169,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,12-13,650.0,,2026/02/22 12:53:31 PM,True,shopify
46939314290937,army-olive-unisex-fleece-cargo-double-pocket-jogger-pants,14-15,650.0,,2026/02/22 12:53:31 PM,True,shopify
46473465561337,around-the-sun-washed-tee-for-kids,2-3 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465594105,around-the-sun-washed-tee-for-kids,3-4 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465626873,around-the-sun-washed-tee-for-kids,4-5 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465659641,around-the-sun-washed-tee-for-kids,5-6 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465692409,around-the-sun-washed-tee-for-kids,6-7 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,False,shopify
46473465725177,around-the-sun-washed-tee-for-kids,8-9 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465757945,around-the-sun-washed-tee-for-kids,10-11 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465790713,around-the-sun-washed-tee-for-kids,12-13 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
46473465823481,around-the-sun-washed-tee-for-kids,14-15 Years / T-shirt Only,369.0,,2026/02/22 12:53:32 PM,True,shopify
43732591902969,beige-women-shorts,Small / Shorts Only,150.0,,2026/02/22 12:53:33 PM,True,shopify
43732591935737,beige-women-shorts,Medium / Shorts Only,150.0,,2026/02/22 12:53:33 PM,True,shopify
43732591968505,beige-women-shorts,Large / Shorts Only,150.0,,2026/02/22 12:53:33 PM,True,shopify
43732592001273,beige-women-shorts,X-Large / Shorts Only,150.0,,2026/02/22 12:53:33 PM,False,shopify
43732592034041,beige-women-shorts,XX-Large / Shorts Only,150.0,,2026/02/22 12:53:33 PM,True,shopify
43732598522105,beige-cargo-women-pants,Small / Pants Only,340.0,,2026/02/22 12:53:34 PM,True,shopify
43732598554873,beige-cargo-women-pants,Medium / Pants Only,340.0,,2026/02/22 12:53:34 PM,True,shopify
43732598587641,beige-cargo-women-pants,Large / Pants Only,340.0,,2026/02/22 12:53:34 PM,True,shopify
43732598620409,beige-cargo-women-pants,X-Large / Pants Only,340.0,,2026/02/22 12:53:34 PM,True,shopify
43732598653177,beige-cargo-women-pants,XX-Large / Pants Only,340.0,,2026/02/22 12:53:34 PM,False,shopify
46473464021241,around-the-sun-washed-tee,Medium / T-shirt Only,519.0,,2026/02/22 12:53:35 PM,False,shopify
46473464054009,around-the-sun-washed-tee,Large / T-shirt Only,519.0,,2026/02/22 12:53:35 PM,True,shopify
46473464086777,around-the-sun-washed-tee,X-Large / T-shirt Only,519.0,,2026/02/22 12:53:35 PM,True,shopify
46473464119545,around-the-sun-washed-tee,XX-Large / T-shirt Only,519.0,,2026/02/22 12:53:35 PM,True,shopify
45170394169593,airforce-tee,4-5,299.0,,2026/02/22 12:53:36 PM,True,shopify
45170394202361,airforce-tee,6-7,299.0,,2026/02/22 12:53:36 PM,False,shopify
45170394235129,airforce-tee,8-9,299.0,,2026/02/22 12:53:36 PM,False,shopify
45170394267897,airforce-tee,10-11,299.0,,2026/02/22 12:53:36 PM,False,shopify
45170394300665,airforce-tee,12-13,299.0,,2026/02/22 12:53:36 PM,False,shopify
45170394333433,airforce-tee,14-15,299.0,,2026/02/22 12:53:36 PM,False,shopify
46473468018937,adventure-incomplete-washed-tee-for-kids,2-3 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,False,shopify
46473468051705,adventure-incomplete-washed-tee-for-kids,3-4 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468084473,adventure-incomplete-washed-tee-for-kids,4-5 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468117241,adventure-incomplete-washed-tee-for-kids,5-6 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468150009,adventure-incomplete-washed-tee-for-kids,6-7 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468182777,adventure-incomplete-washed-tee-for-kids,8-9 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468215545,adventure-incomplete-washed-tee-for-kids,10-11 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468248313,adventure-incomplete-washed-tee-for-kids,12-13 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
46473468281081,adventure-incomplete-washed-tee-for-kids,14-15 Years / T-shirt Only,369.0,,2026/02/22 12:53:37 PM,True,shopify
43732569424121,beige-cargo-men-shorts,Medium / Shorts Only,650.0,,2026/02/22 12:53:38 PM,True,shopify
43732569456889,beige-cargo-men-shorts,Large / Shorts Only,650.0,,2026/02/22 12:53:38 PM,True,shopify
43732569489657,beige-cargo-men-shorts,X-Large / Shorts Only,650.0,,2026/02/22 12:53:38 PM,True,shopify
43732569522425,beige-cargo-men-shorts,XX-Large / Shorts Only,650.0,,2026/02/22 12:53:38 PM,True,shopify
39500832178225,bike-hike-boys-tee,2-3,299.0,,2026/02/22 12:53:39 PM,False,shopify
39500832210993,bike-hike-boys-tee,4-5,299.0,,2026/02/22 12:53:39 PM,False,shopify
39500832243761,bike-hike-boys-tee,6-7,299.0,,2026/02/22 12:53:39 PM,False,shopify
39500832276529,bike-hike-boys-tee,8-9,299.0,,2026/02/22 12:53:39 PM,False,shopify
39500832309297,bike-hike-boys-tee,10-11,299.0,,2026/02/22 12:53:39 PM,False,shopify
39500832342065,bike-hike-boys-tee,12-13,299.0,,2026/02/22 12:53:39 PM,True,shopify
43732664418553,beige-cargo-kids-shorts-1,2-3 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,True,shopify
43732664451321,beige-cargo-kids-shorts-1,3-4 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
43732664484089,beige-cargo-kids-shorts-1,4-5 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
43732664516857,beige-cargo-kids-shorts-1,5-6 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
43732664549625,beige-cargo-kids-shorts-1,6-7 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
43732664582393,beige-cargo-kids-shorts-1,8-9 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
43732664615161,beige-cargo-kids-shorts-1,10-11 Years / Shorts Only,540.0,,2026/02/22 12:53:40 PM,False,shopify
